date,Sumscore,Open,Predict_Open
2021/4/21,26.1164,3371.679932,3365.976953
2021/4/22,19.3504,3319.100098,3196.668018
2021/4/25,12.3537,3348,3343.42002
2021/4/26,375.9805,3443.469971,3451.634986
2021/4/27,45.7113,3434.800049,3412.398023
2021/4/28,85.1317,3505.100098,3219.380078
2021/4/29,332.0043,3525.120117,3476.130029
2021/5/2,14.3701,3484.72998,3403.011987
2021/5/3,58.5094,3356.189941,3384.31997
2021/5/4,278.0971,3338.860107,3401.087988
2021/5/5,52.475,3270,3271.258984
2021/5/6,32.0348,3319.090088,3324.537012
2021/5/9,4.1139,3282.320068,3304.489062
2021/5/10,28.0317,3136.280029,3188.930029
2021/5/11,42.1164,3185,3226.722022
2021/5/12,21.7471,3185.469971,3585.040039
2021/5/13,125.4605,3185.560059,3227.824024
2021/5/16,6.3199,3245.929932,3261.208008
2021/5/17,53.1142,3292.580078,3282.216016
2021/5/18,22.0069,3195,3585.040039
2021/5/19,10.3586,3244.399902,3191
2021/5/20,16.1513,3250,3275.656006
2021/5/23,5.9421,3215.5,3223.8
2021/5/24,53.7308,3266.669922,3269.260938
2021/5/25,33.3938,3274.590088,3294.663013
2021/5/26,114.5318,3256,3274.652002
2021/5/27,22.4585,3242,3276.712988
2021/5/31,6.69,3243.5,3284.41604
2021/6/1,41.9252,3223.100098,3241.962061
2021/6/2,65.9092,3204.22998,3232.966992
2021/6/3,17.5268,3212,3442.015943
2021/6/6,83.0931,3197.330078,3219.380078
2021/6/7,21.5749,3222.610107,3585.040039
2021/6/8,42.7765,3272.870117,3289.679101
2021/6/9,26.3538,3282.01001,3324.406006
2021/6/10,101.2722,3349.649902,3490.935937
2021/6/13,8.2835,3346.830078,3352.703052
2021/6/14,27.6987,3384,3408.5
2021/6/15,32.248,3392,3387.783008
2021/6/16,70.0923,3403.179932,3476.502979
2021/6/17,38.2107,3479.98999,3500.040991
2021/6/20,15.661,3476.419922,3267.728003
2021/6/21,54.007,3458.060059,3326.658985
2021/6/22,36.7015,3505,3396.526929
2021/6/23,36.3831,3507.639893,3396.526929
2021/6/24,27.4556,3464,3315.182983
2021/6/27,6.4984,3416,3448.052954
2021/6/28,17.6571,3438.820068,3338.940991
2021/6/29,23.8236,3441.060059,3463.948047
2021/6/30,22.8984,3434.610107,3372.240112
2021/7/1,38.377,3451.639893,3485.865943
2021/7/5,23.5239,3530.110107,3533.366089
2021/7/6,223.5801,3717.379883,3602.000903
2021/7/7,85.4891,3643.560059,3219.380078
2021/7/8,93.6974,3722.52002,3468.324023
2021/7/11,10.3201,3744,3628.4
2021/7/12,27.6673,3702.100098,3535.740039
2021/7/13,39.1266,3708.850098,3633.150098
2021/7/14,23.7721,3694.199951,3539.890015
2021/7/15,18.2932,3633.310059,3444.324048
2021/7/18,11.7163,3532.580078,3399.472046
2021/7/19,16.3157,3567.320068,3546.438061
2021/7/20,175.656,3576.379883,3485.962915
2021/7/21,43.9542,3587.22998,3491.093017
2021/7/22,39.4295,3640,3528.375049
2021/7/25,60.4767,3673.169922,3415.593945
2021/7/26,75.2378,3698.5,3582.940991
2021/7/27,27.2618,3633.780029,3504.048022
2021/7/28,30.5195,3627.75,3490.751001
2021/7/29,199.8209,3347.949951,3375.792944
2021/8/1,12.4094,3353.100098,3345.970069
2021/8/2,30.6943,3340.719971,3401.383985
2021/8/3,39.3931,3379.350098,3476.245069
2021/8/4,8.014,3356.219971,3358.336988
2021/8/5,96.0989,3375,3502.013965
2021/8/8,6.7854,3343.610107,3172.845996
2021/8/9,25.7893,3345.01001,3353.010987
2021/8/10,18.9544,3331.449951,3353.226977
2021/8/11,32.9158,3290,3296.109985
2021/8/12,33.619,3305.669922,3310.20293
2021/8/15,8.9115,3283,3319.66001
2021/8/16,29.7629,3277.5,3359.024023
2021/8/17,24.2274,3241.98999,3225.517016
2021/8/18,143.2923,3194.02002,3245.956006
2021/8/19,89.816,3203.870117,3213.914111
2021/8/22,7.8291,3211.899902,3218.849951
2021/8/23,47.1177,3280,3349.742969
2021/8/24,23.1268,3309.870117,3324.383105
2021/8/25,16.1365,3299,3300.156006
2021/8/26,32.2796,3333.22998,3358.397998
2021/8/29,11.1319,3357.429932,3160.021924
2021/8/30,56.3848,3424.800049,3311.847022
2021/8/31,47.2176,3496.399902,3393.022949
2021/9/1,67.9208,3494.76001,3508.389966
2021/9/2,7.6964,3452,3414.3
2021/9/6,10.6831,3478,3530.031983
2021/9/7,68.0846,3511.649902,3520.330932
2021/9/8,41.6952,3526.02002,3370.750049
2021/9/9,58.4429,3501.830078,3442.576025
2021/9/12,8.7237,3482.800049,3389.680029
2021/9/13,24.7534,3475.550049,3359.705005
2021/9/14,112.7595,3442.52002,3401.364014
2021/9/15,45.025,3459.959961,3469.230005
2021/9/16,23.605,3488.409912,3436.286963
2021/9/19,4.0954,3396,3349.961035
2021/9/20,21.3176,3375,3384.714014
2021/9/21,33.8087,3351,3341.933984
2021/9/22,31.1842,3380.050049,3353.077027
2021/9/23,22.0254,3402.01001,3585.040039
2021/9/26,7.9986,3371.5,3365.977002
2021/9/27,22.5386,3357.709961,3346.138965
2021/9/28,50.4141,3322.110107,3323.906054
2021/9/29,17.4012,3316,3341.712988
2021/9/30,14.2878,3289.01001,3284.23501
2021/10/3,9.3184,3279.389893,3238.613916
2021/10/4,31.902,3204.5,3362.22207
2021/10/5,21.207,3213.530029,3320.126025
2021/10/6,13.8277,3291.540039,3252.426001
2021/10/7,9.9131,3317,3327.175
2021/10/10,5.466,3275,3326.9
2021/10/11,5.7873,3257,3254.4
2021/10/12,17.3136,3269.709961,3341.712988
2021/10/13,196.6435,3302.449951,3353.042944
2021/10/14,3.1864,3311.419922,3362.851953
2021/10/17,6.6733,3388.360107,3313.388061
2021/10/18,33.222,3434.290039,3287.805005
2021/10/19,12.7249,3452.659912,3444.905957
2021/10/20,10.0619,3414.25,3427.775
2021/10/21,25.0284,3421,3350.1
2021/10/24,3.5934,3335,3346.6
2021/10/25,30.9802,3349.51001,3391.857007
2021/10/26,26.2682,3388,3345.604004
2021/10/27,48.2379,3402.100098,3398.583008
2021/10/28,64.6889,3300.02002,3261.704004
2021/10/31,10.9991,3361.800049,3422.676026
2021/11/1,20.1033,3315.01001,3273.408008
2021/11/2,5.3237,3309,3405.5
2021/11/3,58.4913,3370,3384.31997
2021/11/4,30.9565,3477,3468.37002
2021/11/7,-2.0023,3523.23999,3411.190014
2021/11/8,22.5989,3515.25,3346.138965
2021/11/9,69.3523,3563.870117,3508.641016
2021/11/10,44.6283,3513,3499.715991
2021/11/11,31.571,3485,3467.370117
2021/11/14,5.3956,3537,3405.5
2021/11/15,11.6932,3539,3399.472046
2021/11/16,10.9628,3564.719971,3544.427979
2021/11/17,38.9111,3566.350098,3604.650098
2021/11/18,95.3279,3712.689941,3472.858008
2021/11/21,6.5103,3676.379883,3526.166919
2021/11/22,21.8056,3585.040039,3585.040039
2021/11/23,23.5666,3562.669922,3499.802954
2021/11/25,7.103,3602.100098,3386.202051
2021/11/28,17.5449,3547.639893,3442.015943
2021/11/29,68.2016,3563.5,3556.626001
2021/11/30,30.2414,3545,3525.920996
2021/12/1,12.5635,3460,3449.31001
2021/12/2,23.2915,3455,3396.187012
2021/12/5,3.5921,3393,3381.4
2021/12/6,15.7743,3492,3282.690015
2021/12/7,26.7311,3523.01001,3485.409009
2021/12/8,13.2616,3515,3473.951978
2021/12/9,1.7669,3508.340088,3379.615918
2021/12/12,3.3854,3440,3401.425977
2021/12/13,-1.1269,3351,3358.12102
2021/12/14,-15.5806,3371.959961,3274.523975
2021/12/15,31.5844,3467.370117,3467.370117
2021/12/16,30.2877,3354.209961,3449.604981
2021/12/19,-0.6685,3337,3314.665063
2021/12/20,30.3719,3357.01001,3394.328003
2021/12/21,31.3984,3385.399902,3365.55393
2021/12/22,16.0902,3408.560059,3354.936035
2021/12/26,12.2873,3420.73999,3400.591992
2021/12/27,1.912,3403.649902,3379.615918
2021/12/28,23.6595,3416.800049,3340.200074
2021/12/29,12.5531,3394,3449.31001
